N,Country,City ,State,Latitude ,Longitude ,Website
1,United States,Athens,Georgia,33.9519,-83.3576,https://lipplab-uga.github.io/covid_wastewater_lipplab_athens/
2,United States,New Haven,Connecticut,41.3083,-72.9279,https://yalecovidwastewater.com/
3,United States ,Clemson,South Carolina,34.6834,-82.8374,https://www.clemson.edu/covid-19/testing/wastewater-dashboard.html
4,United States ,,Utah,39.321,-111.0937,https://deq.utah.gov/water-quality/sars-cov-2-sewage-monitoring
5,United States ,Tempe,Arizona,33.4255,-111.94,https://covid19.tempe.gov/
6,United States ,,Massachusetts,42.350671,-70.957796,http://www.mwra.com/biobot/biobotdata.htm
7,United States,,Ohio,40.4173,-82.9071,https://coronavirus.ohio.gov/wps/portal/gov/covid-19/dashboards/wastewater
8,United States,New Castle (County),Delaware ,39.695531,-75.673488,https://compassred.shinyapps.io/ncco_wastewater/ 
9,United States,Boise,Idaho ,43.615,-116.2023,https://www.cityofboise.org/departments/mayor/coronavirus-covid-19-information/covid-19-data/wastewater-testing/
10,United States,Bozeman,Montana ,45.677,-111.0429,https://www.healthygallatin.org/coronavirus-covid-19/wastewater-data/
10,United States,Big Sky,Montana ,45.2618,-111.308,https://www.healthygallatin.org/coronavirus-covid-19/wastewater-data/
10,United States,West Yellowstone,Montana ,44.6621,-111.1041,https://www.healthygallatin.org/coronavirus-covid-19/wastewater-data/
10,United States,Three Forks ,Montana ,45.8924,-111.5522,https://www.healthygallatin.org/coronavirus-covid-19/wastewater-data/
11,Netherlands ,,,52.1326,5.2913,https://coronadashboard.rijksoverheid.nl/landelijk/rioolwater
12,Spain,Valencia ,,39.4699,-0.3763,https://www.idrica.com/blog/valencia-anticipates-coronavirus-outbreaks-thanks-to-goaigua-sars-analytics/
13,Canada,Ottawa ,Ontario ,45.4215,-75.6972,https://613covid.ca/wastewater/#
14,Hungary,,,47.168387,19.503257,https://www.nnk.gov.hu/index.php/koronavirus/szennyvizvizsgalatok
15,Finland,,,61.9241,25.748201,https://www.thl.fi/episeuranta/jatevesi/jatevesiseuranta_viikkoraportti.html
