,State,Abb,fips_code,n_sites
0,Alaska,AK,2,4
1,Arizona,AZ,4,22
2,Arkansas,AR,5,3
3,California,CA,6,48
4,Colorado,CO,8,19
5,Connecticut,CT,9,10
6,Florida,FL,12,10
7,Georgia,GA,13,4
8,Hawaii,HI,15,9
9,Idaho,ID,16,5
10,Illinois,IL,17,10
11,Indiana,IN,18,10
12,Iowa,IA,19,1
13,Kansas,KS,20,5
14,Kentucky,KY,21,4
15,Louisiana,LA,22,1
16,Maine,ME,23,6
17,Maryland,MD,24,9
18,Massachusetts,MA,25,6
19,Michigan,MI,26,270
20,Minnesota,MN,27,5
21,Missouri,MO,29,83
22,Montana,MT,30,9
23,Nebraska,NE,31,2
24,Nevada,NV,32,4
25,New Hampshire,NH,33,3
26,New Jersey,NJ,34,3
27,New Mexico,NM,35,13
28,New York,NY,36,35
29,North Carolina,NC,37,10
30,North Dakota,ND,38,13
31,Ohio,OH,39,2
32,Oklahoma,OK,40,8
33,Oregon,OR,41,39
34,Pennsylvania,PA,42,33
35,Rhode Island,RI,44,2
36,South Carolina,SC,45,5
37,South Dakota,SD,46,1
38,Tennessee,TN,47,7
39,Texas,TX,48,36
40,Utah,UT,49,40
41,Vermont,VT,50,4
42,Virginia,VA,51,14
43,Washington,WA,53,10
44,Wisconsin,WI,55,66
45,Wyoming,WY,56,33
