N,University ,City ,State,Country,Latitude,Longitdue,Dorm Level? ,Dashboard,News Article,Publication ,protocol,
1,University of Alaska Anchorage ,Anchorage,Alaska,USA,61.191,-149.8196,,,https://www.uaa.alaska.edu/news/archive/2020/09/covid-19-wastewater-testing-research.cshtml,,,
2,University of Alaska Fairbanks,Fairbanks,Alaska,USA,64.8558,-147.8335,,,https://www.uaa.alaska.edu/news/archive/2020/09/covid-19-wastewater-testing-research.cshtml,,,
3,University of Arizona,Tucson,Arizona,USA,32.231685,-110.949466,Yes,,https://www.washingtonpost.com/nation/2020/08/28/arizona-coronavirus-wastewater-testing/?hpid=hp_morning-mix-8-12-rr1_mm-poop%3Ahomepage%2Fstory-ans,"Charles Gerba and kyle bibby featured in this publication, along with Michigan State University: https://pubs.rsc.org/en/content/articlelanding/2020/ew/d0ew90031a#!divAbstract",,
4,Univesrity of Arkansas,Fayetteville ,Arkansas,USA,36.0687,-94.1748,,,https://news.uark.edu/articles/54272/researcher-to-study-whether-sewage-can-help-track-covid-19,,,
5,Loma Linda University ,Loma Linda ,California,USA,34.0494,-117.2641,,https://datastudio.google.com/u/0/reporting/430e67c8-acaf-4574-a2d4-48d0b665ab05/page/jMhOC ,https://news.llu.edu/academics/school-of-public-health-students-testing-wastewater-for-covid-19,,,
6,Stanford,Stanford,California,USA,37.427287,-122.169891,,https://soe-wbe-pilot.wl.r.appspot.com/charts#page=overview ,https://www.news-medical.net/news/20211114/SARS-CoV-2-RNA-is-enriched-in-the-solids-fraction-of-wastewater.aspx ,,,
7,UC Berkeley ,Berekely,California,USA,37.871882,-122.258797,,https://coronavirus.berkeley.edu/dashboard/wastewater/,https://engineering.berkeley.edu/news/2020/06/monitoring-covid-19-prevalence-in-municipal-wastewater/,https://www.medrxiv.org/content/10.1101/2020.09.13.20193805v1.full.pdf,,
8,UC Merced,Merced,California,USA,37.2661,-120.4224,,https://arcg.is/1aummW,https://news.ucmerced.edu/news/2021/campus-wastewater-testing-offers-covid-19-early-warning-system-establishes-protocols ,https://www.medrxiv.org/content/10.1101/2021.03.14.21253564v1,,
9,UC San Diego,San Diego,California,USA,32.879754,-117.234185,Yes,https://returntolearn.ucsd.edu/dashboard/index.html,https://ucsdnews.ucsd.edu/feature/uc-san-diego-bolsters-aggressive-return-to-learn-plan-to-prevent-outbreaks-on-campus,,,
10,UC Santa Barbara ,Santa Barbara,California,USA,34.414,-119.8489,,,https://www.miragenews.com/researchers-are-developing-methods-to-monitor-covid-19-virus-through-community-s-wastewater,,,
