,State,variable,value
0,Alabama,"Genomic Sequencing Incidence, per 100K persons",281.06306406204254
1,Alaska,"Genomic Sequencing Incidence, per 100K persons",1169.4542456450577
2,Arizona,"Genomic Sequencing Incidence, per 100K persons",696.7995910562233
3,Arkansas,"Genomic Sequencing Incidence, per 100K persons",350.2194055726527
4,California,"Genomic Sequencing Incidence, per 100K persons",740.2297112941576
5,Colorado,"Genomic Sequencing Incidence, per 100K persons",1793.6590651952995
6,Connecticut,"Genomic Sequencing Incidence, per 100K persons",585.3893382111113
7,Delaware,"Genomic Sequencing Incidence, per 100K persons",693.1556053686473
8,District of Columbia,"Genomic Sequencing Incidence, per 100K persons",781.6870831583517
9,Florida,"Genomic Sequencing Incidence, per 100K persons",495.85139435169896
10,Georgia,"Genomic Sequencing Incidence, per 100K persons",340.054993238731
11,Hawaii,"Genomic Sequencing Incidence, per 100K persons",477.58134335240425
12,Idaho,"Genomic Sequencing Incidence, per 100K persons",751.5072328937047
13,Illinois,"Genomic Sequencing Incidence, per 100K persons",369.2465630857039
14,Indiana,"Genomic Sequencing Incidence, per 100K persons",417.386569211214
15,Iowa,"Genomic Sequencing Incidence, per 100K persons",324.63654236418165
16,Kansas,"Genomic Sequencing Incidence, per 100K persons",464.02118491982674
17,Kentucky,"Genomic Sequencing Incidence, per 100K persons",343.0085296712337
18,Louisiana,"Genomic Sequencing Incidence, per 100K persons",406.5469836982063
19,Maine,"Genomic Sequencing Incidence, per 100K persons",804.9139123911763
20,Maryland,"Genomic Sequencing Incidence, per 100K persons",607.0778083637198
21,Massachusetts,"Genomic Sequencing Incidence, per 100K persons",1183.6023823884416
22,Michigan,"Genomic Sequencing Incidence, per 100K persons",529.5063033249082
23,Minnesota,"Genomic Sequencing Incidence, per 100K persons",1431.1430806253018
24,Mississippi,"Genomic Sequencing Incidence, per 100K persons",272.0548596531761
25,Missouri,"Genomic Sequencing Incidence, per 100K persons",278.0891778797908
26,Montana,"Genomic Sequencing Incidence, per 100K persons",805.7008109723666
27,Nebraska,"Genomic Sequencing Incidence, per 100K persons",653.3047767339737
