"","submission_date","n_countries_all","n_omicron_cases","n_cases_BNO","n_omicron_seq","rolling_cases_last_7_days","rolling_cases_last_30_days","rolling_seq_last_30_days","n_new_sequences","n_new_cases","percent_of_cases_seq_last_30_days","new_cases_7d_avg","new_seq_7d_avg","rolling_cases_lag_7","rolling_cases_lag_30","cases_seq_last_30_days","cases_seq_last_30_days_lag_30"
"1",2021-10-24,NA,NA,NA,NA,2950666,12544762,599338,14138,316065,4.77759562118436,NA,NA,NA,NA,203981,257979
"2",2021-10-25,NA,NA,NA,NA,2962010,12609669,614492,27081,431007,4.87318104860643,NA,NA,NA,NA,218627,250898
"3",2021-10-26,NA,NA,NA,NA,2961500,12707670,628161,25912,442742,4.94316424647477,NA,NA,NA,NA,234066,237431
"4",2021-10-27,NA,NA,NA,NA,3005179,12749467,625249,23860,512452,4.90411873688524,435435.29,21594.71,NA,NA,228297,247071
"5",2021-10-28,NA,NA,NA,NA,3011762,12761125,624598,23816,459064,4.89453711957214,436117.71,21855.29,NA,NA,224269,249081
"6",2021-10-29,NA,NA,NA,NA,3034759,12766326,620906,20642,504781,4.86362325386333,434982.43,22911.14,NA,NA,219799,246669
"7",2021-10-30,NA,NA,NA,NA,3056568,12666986,615000,15714,381936,4.85514075724091,433090.14,23007.86,NA,NA,206024,242976
"8",2021-10-31,NA,NA,NA,NA,3057596,12450237,606586,15962,320842,4.87208396113263,434338.71,23624.71,2950666,NA,204009,232498
"9",2021-11-01,NA,NA,NA,NA,3042713,12527676,628206,34472,423060,5.01454539533111,444153,23935.14,2962010,NA,216199,222482
"10",2021-11-02,NA,NA,NA,NA,3024793,12652491,641491,26589,429496,5.07007671453787,445658,24503.86,2961500,NA,223814,214802
"11",2021-11-03,NA,NA,NA,NA,3036556,12732182,643962,28178,521192,5.05775050969268,450298.14,24647.86,3005179,NA,218333,240483
"12",2021-11-04,NA,NA,NA,NA,3112194,12841944,645234,25989,527764,5.02442620836845,454059.14,24733.71,3011762,NA,217552,245356
"13",2021-11-05,NA,NA,NA,NA,3130883,12847719,647955,24623,515316,5.04334660494987,461979.57,24383.43,3034759,NA,229686,247960
"14",2021-11-06,NA,NA,NA,NA,3166646,12830942,641552,16722,414417,5.00003818893422,469637.29,24618.29,3056568,NA,224744,242377
"15",2021-11-07,NA,NA,NA,NA,3187225,12703896,637921,16563,347169,5.02145955854802,477239.86,24606.57,3057596,NA,218548,245456
"16",2021-11-08,NA,NA,NA,NA,3233594,12850094,655121,32020,478503,5.09818060474888,475574.14,24271.71,3042713,NA,227906,229429
"17",2021-11-09,NA,NA,NA,NA,3281661,13023817,669499,28233,483100,5.14057437999935,486911,24062.14,3024793,NA,242116,219983
"18",2021-11-10,NA,NA,NA,NA,3337720,13217698,674217,28096,574410,5.10086552136386,488952,24221,3036556,NA,250278,223796
"19",2021-11-11,NA,NA,NA,NA,3332374,13299868,673225,23645,516104,5.06189234359318,489607.14,23891.57,3112194,NA,246795,233640
"20",2021-11-12,NA,NA,NA,NA,3416443,13431166,676381,23156,594674,5.03590678575486,499101.43,23617.57,3130883,NA,255667,222925
"21",2021-11-13,NA,NA,NA,NA,3431020,13415377,673211,17834,428704,5.0182041101044,504672.43,23637.71,3166646,NA,240677,225284
