"","Region","region_pop","region_cases_last_7_days","region_cases_last_7_days_per_100k","region_vax_rate","prev_per_100k","prev","m_test","m_v","event_size","Same vax % as county","Rapid test right before","100% vaccinated","100% vax & rapid test"
"1","Northeast",49274692,299752,608,0.650068193221786,2432,0.0243331404283562,0.214,0.86958731675556,10,21.8,5.1,19.3,4.4
"2","Northeast",49274692,299752,608,0.650068193221786,2432,0.0243331404283562,0.214,0.86958731675556,20,38.9,9.9,34.8,8.7
"3","Northeast",49274692,299752,608,0.650068193221786,2432,0.0243331404283562,0.214,0.86958731675556,30,52.2,14.5,47.4,12.7
"4","Midwest",68329004,313273,458,0.553793247154605,1832,0.0183390936007204,0.214,0.839467415827475,10,16.9,3.9,14.4,3.2
"5","Midwest",68329004,313273,458,0.553793247154605,1832,0.0183390936007204,0.214,0.839467415827475,20,30.9,7.6,26.7,6.4
"6","Midwest",68329004,313273,458,0.553793247154605,1832,0.0183390936007204,0.214,0.839467415827475,30,42.6,11.1,37.2,9.4
"7","West",78342113,131558,168,0.629037348022513,672,0.00671710246058847,0.214,0.862824685614119,10,6.5,1.4,5.6,1.2
"8","West",78342113,131558,168,0.629037348022513,672,0.00671710246058847,0.214,0.862824685614119,20,12.6,2.8,11,2.5
"9","West",78342113,131558,168,0.629037348022513,672,0.00671710246058847,0.214,0.862824685614119,30,18.3,4.2,16,3.7
"10","South",125580448,203348,162,0.542665191406583,648,0.00647705923138608,0.214,0.836119959330721,10,6.3,1.4,5.3,1.2
"11","South",125580448,203348,162,0.542665191406583,648,0.00647705923138608,0.214,0.836119959330721,20,12.2,2.7,10.3,2.3
"12","South",125580448,203348,162,0.542665191406583,648,0.00647705923138608,0.214,0.836119959330721,30,17.7,4.1,15,3.4
