code,total_seqs
ABW,3456
AFG,108
AGO,1282
AIA,101
ALB,58
AND,325
ARE,2622
ARG,20622
ARM,195
ASM,90
ATG,239
AUS,142540
AUT,163923
AZE,155
BDI,158
BEL,143711
BEN,1268
BFA,672
BGD,7217
BGR,18271
BHR,7908
BHS,263
BIH,1510
BLM,14
BLR,523
BLZ,957
BMU,134
BOL,345
BRA,174121
BRB,184
BRN,2934
BWA,4477
CAF,174
CAN,416029
CHE,147810
CHL,33810
CHN,2548
CIV,758
CMR,1332
COD,1846
COG,625
COL,22569
COM,34
CPV,584
CRI,6514
CUB,1521
CUW,1948
CYM,101
CYP,1395
CZE,47907
DEU,764684
DJI,716
DMA,39
DNK,557653
DOM,1507
DZA,369
ECU,7195
EGY,2610
ESP,157639
EST,13203
ETH,628
FIN,37293
FJI,531
FRA,512841
FRO,42
FSM,12
GAB,973
GBR,2910051
GEO,2133
GHA,3936
GIB,3029
GIN,828
GLP,2366
GMB,1441
GNB,112
GNQ,213
GRC,20245
GRD,58
GTM,2355
GUF,5200
GUM,840
GUY,145
HKG,11613
HND,231
HRV,36531
HTI,381
HUN,549
IDN,32953
IND,236388
IRL,86955
IRN,3008
IRQ,1107
ISL,10977
ISR,129230
ITA,148176
JAM,2115
JOR,1535
JPN,371536
KAZ,1499
KEN,11076
KGZ,337
KHM,3398
KIR,137
KNA,74
KOR,74837
KWT,925
LAO,490
LBN,2572
LBR,110
LBY,94
LCA,200
LIE,1509
LKA,3614
LSO,219
LTU,40481
LUX,41462
LVA,18284
MAF,330
MAR,1052
MCO,101
MDA,641
MDG,879
MDV,1294
MEX,73032
MHL,23
MKD,928
MLI,74
MLT,936
MMR,150
MNE,838
MNG,1070
MNP,3141
MOZ,1237
MRT,58
MSR,28
MTQ,3616
MUS,3590
MWI,1203
MYS,24966
MYT,1174
"NAM",1844
NCL,9
NER,350
NGA,7174
NIC,567
NLD,136102
NOR,70221
NPL,3363
NZL,16948
OMN,1034
PAK,3881
PAN,5110
PER,28537
PHL,21726
PLW,47
PNG,4609
POL,85328
PRI,12377
PRT,40631
PRY,2104
PSE,761
PYF,112
QAT,5056
REU,16131
ROU,16059
RUS,21996
RWA,916
SAU,1396
SDN,204
SEN,5723
SGP,21814
SLB,246
SLE,61
SLV,522
SOM,47
SRB,1671
SSD,174
STP,10
SUR,1124
SVK,41060
SVN,71874
SWE,207309
SWZ,1054
SXM,2607
SYC,1413
SYR,89
TCA,72
TCD,58
TGO,815
THA,28833
TLS,356
TTO,3593
TUN,1252
TUR,96036
TWN,2505
TZA,11
UGA,1321
UKR,1130
URY,942
USA,3914414
UZB,90
VCT,222
VEN,593
VGB,195
VIR,2228
VNM,5868
VUT,1
WLF,10
XKX,1452
ZAF,45147
ZMB,1842
ZWE,932
