month,high_income,low_income,lower_middle_income,upper_middle_income
Jan 2020,11,0,0,43
Feb 2020,108,0,7,99
Mar 2020,2568,19,33,402
Apr 2020,14260,49,132,1022
May 2020,32340,150,664,1972
Jun 2020,51169,189,1790,2943
Jul 2020,67309,253,2848,3850
Aug 2020,82220,334,3629,5153
Sep 2020,118594,704,4167,5909
Oct 2020,155478,711,4727,6946
Nov 2020,212722,811,5194,8283
Dec 2020,288028,949,6280,11205
Jan 2021,422895,1112,7762,14058
Feb 2021,599477,1427,9485,19001
Mar 2021,882950,1767,12949,29861
Apr 2021,1238826,2196,17078,39004
May 2021,1669206,2891,28985,56782
Jun 2021,1974095,3705,45479,78348
Jul 2021,2317863,4395,58718,100993
Aug 2021,2848868,5164,66793,177170
Sep 2021,3539720,6288,85491,215908
Oct 2021,4283060,7029,102883,264509
Nov 2021,5024127,7901,120459,304175
Dec 2021,5985446,8426,142304,353690
Jan 2022,6921289,9146,164150,403221
Feb 2022,7926779,9881,195278,444979
Mar 2022,8912915,10684,234897,482546
Apr 2022,9625312,10917,253776,513357
May 2022,10166725,11413,263909,538076
Jun 2022,10610874,11731,277885,570966
Jul 2022,11107092,12027,291444,607250
