date,world_bank_economies,Insufficient data,Connect/Build,Strengthen/Leverage,Sustain
2021-01-01,High income,1118657,5715295,1088622207,150620151
2021-01-01,Upper middle income,612984,42972336,2860614966,0
2021-01-01,Lower middle income,1343067,316726124,2713101840,0
2021-01-01,Low income,13370376,421925882,223089856,2639916
2021-02-01,High income,543521,5651110,903369579,336512100
2021-02-01,Upper middle income,612984,42972336,2860614966,0
2021-02-01,Lower middle income,1343067,316726124,2713101840,0
2021-02-01,Low income,13370376,421925882,223089856,2639916
2021-03-01,High income,8342640,5346569,563336460,669050641
2021-03-01,Upper middle income,612984,42972336,2860614966,0
2021-03-01,Lower middle income,1343067,316726124,2713101840,0
2021-03-01,Low income,13370376,421925882,223089856,2639916
2021-04-01,High income,8599341,5089868,448005787,784381314
2021-04-01,Upper middle income,612984,42972336,2860614966,0
2021-04-01,Lower middle income,1343067,316726124,2713101840,0
2021-04-01,Low income,13370376,421925882,223089856,2639916
2021-05-01,High income,11716619,5228618,325083476,904047597
2021-05-01,Upper middle income,612984,42972336,2860614966,0
2021-05-01,Lower middle income,1343067,316726124,2713101840,0
2021-05-01,Low income,13370376,421925882,223089856,2639916
2021-06-01,High income,17119640,4701870,195385972,1028868828
2021-06-01,Upper middle income,612984,42972336,2851140675,9474291
2021-06-01,Lower middle income,1343067,316726124,2713101840,0
2021-06-01,Low income,13370376,421925882,223089856,2639916
2021-07-01,High income,17332981,1523125,147570489,1079649715
2021-07-01,Upper middle income,612984,42795592,2791748420,69043290
2021-07-01,Lower middle income,1343067,316726124,2713101840,0
2021-07-01,Low income,13370376,421925882,223089856,2639916
2021-08-01,High income,17332981,1241925,147570489,1079930915
2021-08-01,Upper middle income,612984,42615940,2665043282,195928080
2021-08-01,Lower middle income,1343067,315620567,2713101840,1105557
2021-08-01,Low income,13370376,421925882,223089856,2639916
2021-09-01,High income,27879112,1162891,128077305,1088957002
2021-09-01,Upper middle income,1134442,42094482,2577926699,283044663
2021-09-01,Lower middle income,1343067,315620567,2713101840,1105557
2021-09-01,Low income,13370376,421925882,225729772,0
2021-10-01,High income,32439915,807873,111582819,1101245703
2021-10-01,Upper middle income,9137047,39640873,2554536331,300886035
2021-10-01,Lower middle income,1343067,315620567,2713101840,1105557
2021-10-01,Low income,13370376,421925882,225729772,0
2021-11-01,High income,32771383,805211,111582819,1100916897
2021-11-01,Upper middle income,42189463,38716263,2487246985,336047575
2021-11-01,Lower middle income,2664009,314299625,2599221512,114985885
2021-11-01,Low income,13370376,421925882,223089856,2639916
2021-12-01,High income,32771383,757605,92254259,1120293063
2021-12-01,Upper middle income,45947443,38611931,2483489005,336151907
2021-12-01,Lower middle income,2664009,304350188,2599221512,124935322
2021-12-01,Low income,13370376,421925882,223089856,2639916
2022-01-01,High income,33354814,700922,91808886,1120211688
2022-01-01,Upper middle income,45947443,38307669,2265891839,554053335
2022-01-01,Lower middle income,2664009,304350188,2696512817,27644017
2022-01-01,Low income,13370376,421925882,223089856,2639916
2022-02-01,High income,33354814,1108828,91808886,1119803782
2022-02-01,Upper middle income,45947443,38432279,2265891839,553928725
2022-02-01,Lower middle income,6011791,301002406,2679636097,44520737
2022-02-01,Low income,13370376,421925882,223089856,2639916
2022-03-01,High income,85184953,1108828,91808886,1067973643
2022-03-01,Upper middle income,46524098,35549388,2194290736,627836064
2022-03-01,Lower middle income,6011791,299810135,2657862656,67486449
2022-03-01,Low income,13370376,421925882,223089856,2639916
2022-04-01,High income,85630326,621888,102254251,1057569845
2022-04-01,Upper middle income,46524098,35549388,2265891839,556234961
2022-04-01,Lower middle income,19022734,296160704,2657862656,58124937
2022-04-01,Low income,13370376,421925882,223089856,2639916
2022-05-01,High income,112423022,621888,97902984,1035128416
2022-05-01,Upper middle income,41808446,34672409,2266330513,561388918
2022-05-01,Lower middle income,19730585,295452853,2604857042,111130551
2022-05-01,Low income,13370376,421925882,223089856,2639916
2022-06-01,High income,107902551,621888,102423455,1035128416
2022-06-01,Upper middle income,61709513,32321910,2215051800,595117063
2022-06-01,Lower middle income,18409643,296773795,2604857042,111130551
2022-06-01,Low income,13370376,421925882,223089856,2639916
2022-07-01,High income,112231699,621888,98173341,1035049382
2022-07-01,Upper middle income,68413312,26542721,2215051800,594192453
2022-07-01,Lower middle income,18538517,296644921,2507853434,208134159
2022-07-01,Low income,13370376,421925882,223089856,2639916
2022-08-01,High income,113127706,621888,156517664,975809052
2022-08-01,Upper middle income,119324773,26321019,2164182389,594372105
2022-08-01,Lower middle income,18538517,296644921,2621733762,94253831
2022-08-01,Low income,13370376,421925882,223089856,2639916
